,id,title,is_succeeded,start_date,close_date,expected_return,expected_risk,expert_id,symbol_id,should_buy,profit
245,323,,1,2019-06-23,2019-08-25,31.45,-11.12,64,2,0,31.45
246,349,,1,2019-04-10,2019-06-12,41.85,-15.83,64,2,0,41.85
247,419,,1,2018-11-12,2019-08-31,61.49,-21.19,64,2,0,61.49
248,433,,1,2018-10-17,2019-05-25,56.95,-24.73,64,2,0,8.06
249,486,,1,2019-04-29,2019-09-16,57.92,-30.09,65,2,0,57.92
250,716,,1,2018-08-26,2018-09-22,19.62,-19.57,61,2,0,27.86
251,1351,,1,2017-05-31,2017-07-15,14.74,-9.95,76,2,0,19.06
252,1382,,1,2017-05-08,2017-07-15,14.03,-9.12,76,2,0,18.32
253,1460,,1,2017-03-05,2017-03-29,8.07,-6.75,76,2,0,2.31
254,1525,,1,2017-02-01,2017-02-08,8.34,-5.42,76,2,0,9.11
