"id","title","is_succeeded","start_date","close_date","expected_return","expected_risk","expert_id","symbol_id","should_buy","profit"
4943,"",1,"2017-08-12","2017-12-19",20.73,-13.67,23,91,0,20.73
5877,"",1,"2018-03-27","2018-06-18",19.2,-28.78,26,91,0,26.32
6083,"",1,"2018-11-12","2018-12-20",34.04,-13.28,27,91,0,20.45
6122,"",1,"2018-10-17","2018-12-20",36.0,-28.92,27,91,0,23.78
6134,"",0,"2018-10-09","2019-05-25",28.94,-20.22,27,91,0,-6.14
6417,"",1,"2018-05-06","2018-06-19",49.99,-29.77,28,91,0,49.99
6418,"",1,"2018-05-06","2018-06-19",49.99,-29.77,28,91,0,49.99
6513,"",1,"2018-04-28","2018-06-19",48.39,-28.32,28,91,0,48.39
6514,"",1,"2018-04-28","2018-06-19",48.39,-28.32,28,91,0,48.39
6702,"",1,"2018-04-03","2018-06-25",58.15,-31.02,28,91,0,58.15
6707,"",1,"2018-04-03","2018-08-02",60.18,-30.97,28,91,0,60.18
6848,"",1,"2018-03-10","2018-06-24",51.34,-28.85,28,91,0,51.34
6876,"",1,"2018-02-28","2018-06-24",52.12,-27.05,28,91,0,52.12
6877,"",1,"2018-02-28","2018-06-24",51.55,-26.48,28,91,0,51.55
6915,"",1,"2018-02-14","2018-06-24",48.49,-26.19,28,91,0,48.49
6958,"",1,"2018-01-30","2018-06-23",34.99,-22.41,28,91,0,34.99
7152,"",1,"2017-11-25","2018-08-12",111.09,-30.95,28,91,0,111.09
7183,"",1,"2017-11-13","2019-04-17",112.12,-31.19,28,91,0,251.29
7249,"",1,"2018-10-29","2018-12-02",33.18,-6.67,30,91,0,20.98
7266,"",0,"2018-10-10","2019-05-25",26.2,-9.33,30,91,0,-3.85
7757,"",1,"2018-05-06","2018-06-17",49.0,-29.57,34,91,0,49.0
7758,"",1,"2018-05-06","2018-06-17",49.0,-29.57,34,91,0,49.0
7852,"",1,"2018-04-28","2018-06-19",48.39,-28.32,34,91,0,48.39
7853,"",1,"2018-04-28","2018-06-19",48.39,-28.32,34,91,0,48.39
8046,"",1,"2018-04-03","2018-08-02",64.22,-31.0,34,91,0,64.22
8054,"",1,"2018-04-03","2018-08-02",62.0,-31.0,34,91,0,62.0
8202,"",1,"2018-03-05","2018-06-24",51.9,-26.88,34,91,0,51.9
8262,"",1,"2018-02-14","2018-06-24",50.67,-26.27,34,91,0,50.67
8305,"",1,"2017-11-11","2019-05-25",23.07,-24.42,35,91,0,282.51
8355,"",1,"2017-08-30","2019-05-25",30.16,-24.37,35,91,0,227.01
8425,"",1,"2017-08-02","2017-09-02",52.64,-24.17,35,91,0,18.46
8468,"",1,"2017-07-15","2017-09-03",24.0,-15.47,35,91,0,19.65
8491,"",1,"2017-07-08","2017-07-12",34.71,-15.28,35,91,0,5.85
8617,"",1,"2017-05-01","2017-09-03",13.73,-5.58,35,91,0,9.74
8619,"",1,"2017-04-29","2017-05-01",11.79,-6.89,35,91,0,2.88
8621,"",1,"2017-04-19","2019-05-25",79.68,-22.83,35,91,0,305.43
8674,"",1,"2018-07-02","2019-05-25",16.86,-22.37,38,91,0,158.29
8676,"",1,"2018-06-19","2018-08-08",57.31,-30.63,38,91,0,48.86
9698,"",1,"2019-04-15","2019-09-29",33.2,-18.76,41,91,0,33.2
9699,"",1,"2019-04-15","2019-09-29",29.28,-18.14,41,91,0,29.28
9947,"",1,"2018-05-06","2018-06-19",50.42,-29.57,41,91,0,50.42
9948,"",1,"2018-05-06","2018-06-19",50.42,-29.57,41,91,0,50.42
10046,"",1,"2018-04-28","2018-06-19",46.65,-27.17,41,91,0,45.3
10047,"",1,"2018-04-28","2018-06-19",46.65,-27.17,41,91,0,45.3
10240,"",1,"2018-04-03","2018-06-25",55.04,-30.97,41,91,0,55.04
10243,"",1,"2018-04-03","2018-06-25",57.87,-31.0,41,91,0,57.87
10410,"",1,"2018-03-03","2018-06-24",50.44,-25.27,41,91,0,50.44
10467,"",1,"2018-02-14","2018-06-24",48.0,-25.44,41,91,0,48.0
10507,"",0,"2018-01-30","2018-04-24",31.39,-16.67,41,91,0,-16.67
10693,"",1,"2017-11-28","2018-08-12",108.79,-30.95,41,91,0,108.79
10716,"",1,"2017-11-20","2019-05-25",112.12,-31.19,41,91,0,285.87
10738,"",1,"2017-11-12","2019-05-25",113.06,-31.1,41,91,0,287.57
11001,"",0,"2017-08-12","2018-04-17",23.22,-9.07,41,91,0,-9.07
11664,"",1,"2017-06-10","2017-09-10",24.54,-6.1,42,91,0,22.79
11679,"",1,"2016-09-16","2017-04-15",62.1,-19.44,42,91,0,62.1
11699,"",1,"2016-05-15","2017-04-16",17.8,-4.98,42,91,0,24.64
11705,"",1,"2016-02-10","2016-03-06",90.05,-30.99,42,91,0,32.09
11780,"",1,"2017-12-04","2017-12-17",50.32,-26.59,44,91,0,11.86
11943,"",1,"2017-08-01","2017-08-30",20.79,-15.1,44,91,0,16.94
12314,"",1,"2017-12-09","2017-12-16",50.89,-22.51,50,91,0,12.03
12468,"",1,"2017-08-22","2019-05-25",42.4,-23.92,50,91,0,257.62
12508,"",1,"2017-08-02","2017-08-29",21.71,-14.83,50,91,0,14.66
12628,"",1,"2017-12-26","2018-06-18",50.33,-25.44,54,91,0,22.22
12650,"",1,"2017-10-04","2017-12-19",19.68,-15.82,54,91,0,9.45
12660,"",0,"2017-09-18","2017-10-02",3.68,-3.94,54,91,0,-4.38
12938,"",1,"2018-05-06","2018-06-17",48.78,-29.67,55,91,0,48.78
12939,"",1,"2018-05-06","2018-06-17",48.78,-29.67,55,91,0,48.78
13034,"",1,"2018-04-28","2018-06-19",46.84,-28.41,55,91,0,45.5
13035,"",1,"2018-04-28","2018-06-19",46.84,-28.41,55,91,0,45.5
13222,"",1,"2018-04-03","2018-08-02",62.54,-30.98,55,91,0,62.54
13230,"",1,"2018-04-03","2018-08-02",62.36,-30.95,55,91,0,62.36
13379,"",1,"2018-03-05","2018-06-24",51.9,-26.88,55,91,0,51.9
13454,"",1,"2018-02-12","2018-06-24",45.86,-25.21,55,91,0,45.86
13666,"",1,"2017-11-28","2018-08-12",111.27,-30.95,55,91,0,111.27
13689,"",1,"2017-11-20","2019-05-25",110.59,-31.19,55,91,0,285.87
13711,"",1,"2017-11-12","2018-08-08",105.47,-31.03,55,91,0,105.47
14119,"",1,"2017-05-01","2017-12-22",19.77,-6.79,55,91,0,14.94
14290,"",1,"2017-06-14","2017-08-14",22.79,-4.71,59,91,0,7.66
14291,"",1,"2017-06-08","2017-08-22",22.45,-9.09,59,91,0,12.44
14506,"",1,"2017-12-30","2018-06-18",45.33,-21.83,62,91,0,28.1
14516,"",1,"2017-11-08","2017-12-16",34.89,-24.07,62,91,0,12.58
14575,"",0,"2019-01-26","2019-01-29",121.22,-9.49,65,91,0,-9.49
14576,"",0,"2019-01-20","2019-01-28",10.68,-8.14,65,91,0,-8.14
14613,"",1,"2016-08-09","2017-04-15",35.18,-5.76,65,91,0,35.18
14974,"",1,"2017-04-29","2019-05-25",39.66,-12.48,76,91,0,321.96
15184,"",1,"2017-06-13","2017-09-13",70.91,-22.2,84,91,0,26.07
15352,"",1,"2016-11-12","2017-04-15",20.41,-10.04,87,91,0,20.41
15357,"",0,"2016-11-03","2016-11-09",24.0,-7.25,87,91,0,-7.25
15377,"",1,"2016-08-22","2016-10-26",14.07,-7.74,87,91,0,16.26
15478,"",1,"2019-03-17","2019-03-31",23.13,-11.34,91,91,0,8.24
15489,"",0,"2018-03-13","2018-04-17",9.83,-6.17,91,91,0,-6.17
15495,"",0,"2018-03-04","2018-04-17",19.77,-10.42,91,91,0,-10.29
15528,"",0,"2017-08-30","2017-09-11",8.4,-8.0,91,91,0,-8.54
15530,"",1,"2017-08-06","2017-08-30",53.63,-10.92,91,91,0,16.26
15532,"",1,"2017-07-11","2017-08-02",67.06,-9.96,91,91,0,9.5
15583,"",0,"2018-02-14","2018-04-17",13.94,-13.64,92,91,0,-13.64
15988,"",1,"2017-11-28","2017-12-17",19.99,-10.6,106,91,0,6.94
16025,"",1,"2017-06-12","2017-07-17",18.82,-3.99,107,91,0,9.98
16257,"",1,"2017-07-15","2017-10-02",30.4,-11.64,117,91,0,17.26
16415,"",1,"2017-07-03","2017-07-15",23.13,-18.24,121,91,0,4.51
16487,"",0,"2017-04-17","2018-01-02",73.05,-31.04,125,91,0,-7.87
16560,"",1,"2017-06-13","2017-12-19",43.54,-13.97,126,91,0,43.54
157,"",1,"2018-12-05","2019-04-08",37.9,-13.76,9,100,0,37.9
284,"",1,"2018-09-18","2019-05-04",52.05,-6.95,9,100,0,52.57
675,"",1,"2019-02-04","2019-03-06",31.53,-12.64,12,100,0,4.46
742,"",1,"2017-12-20","2018-01-27",12.03,-21.21,12,100,0,13.69
1167,"",1,"2018-02-14","2019-05-12",17.58,-5.71,16,100,0,99.23
1187,"",1,"2018-01-24","2019-05-25",22.69,-13.84,16,100,0,82.54
1213,"",1,"2017-12-30","2018-02-02",20.45,-11.93,16,100,0,18.97
1247,"",1,"2017-11-29","2017-12-25",26.34,-11.11,16,100,0,17.35
1288,"",1,"2017-10-02","2017-12-24",23.24,-10.09,16,100,0,13.84
1409,"",1,"2017-04-25","2017-04-30",11.06,-7.03,16,100,0,11.84
1410,"",1,"2017-04-25","2017-05-01",11.06,-7.03,16,100,0,7.53
1643,"",1,"2016-08-17","2016-09-14",7.2,-7.0,16,100,0,2.04
1693,"",1,"2016-07-19","2016-08-20",9.02,-5.17,16,100,0,9.02
1860,"",1,"2017-12-30","2018-02-04",27.2,-31.02,17,100,0,15.73
1961,"",1,"2019-05-18","2019-09-30",56.44,-18.12,19,100,0,56.44
1969,"",1,"2019-05-08","2019-10-01",62.32,-16.52,19,100,0,62.32
1997,"",1,"2018-11-20","2019-06-16",52.72,-25.99,19,100,0,52.72
2002,"",1,"2018-11-03","2019-06-16",52.72,-25.99,19,100,0,52.72
2024,"",0,"2018-10-16","2018-10-28",51.02,-9.78,19,100,0,-9.78
2044,"",0,"2018-10-03","2018-10-28",44.71,-15.28,19,100,0,-15.28
2069,"",1,"2018-09-24","2018-10-13",51.0,-13.0,19,100,0,29.88
2078,"",0,"2018-02-12","2018-03-03",32.33,-10.09,19,100,0,-10.09
2702,"",1,"2017-08-16","2018-01-31",72.91,-31.0,21,100,0,9.43
2727,"",1,"2017-08-01","2018-01-31",89.03,-30.96,21,100,0,11.17
2837,"",1,"2017-06-02","2017-07-26",21.2,-3.97,21,100,0,28.86
2894,"",1,"2017-05-12","2017-07-26",23.59,-10.99,21,100,0,16.85
2928,"",1,"2017-04-30","2017-05-09",26.35,-6.66,21,100,0,12.2
3120,"",0,"2016-08-28","2016-08-29",3.66,-4.38,21,100,0,-4.38
3344,"",1,"2017-11-15","2018-01-18",68.1,-15.6,22,100,0,18.83
3345,"",1,"2017-11-14","2018-01-21",67.58,-18.24,22,100,0,26.58
3390,"",1,"2017-10-03","2018-01-20",68.23,-14.46,22,100,0,23.15
3419,"",1,"2017-08-21","2018-01-31",98.2,-18.38,22,100,0,17.45
3445,"",0,"2017-07-26","2017-09-03",90.66,-11.17,22,100,0,-10.62
3558,"",1,"2017-04-22","2017-07-19",34.2,-12.24,22,100,0,21.23
3671,"",1,"2019-04-24","2019-08-28",41.85,-23.86,23,100,0,41.85
3678,"",1,"2018-11-14","2019-06-15",55.36,-30.98,23,100,0,55.36
3715,"",1,"2018-08-04","2018-08-29",36.24,-21.05,23,100,0,36.24
3716,"",1,"2018-08-04","2018-08-29",36.24,-21.05,23,100,0,36.24
3840,"",1,"2018-06-19","2018-09-01",22.3,-17.94,23,100,0,22.3
3841,"",1,"2018-06-19","2018-09-01",22.81,-18.34,23,100,0,22.81
4033,"",1,"2018-04-28","2018-08-27",30.6,-18.73,23,100,0,30.6
4034,"",1,"2018-04-28","2018-08-27",30.6,-18.73,23,100,0,30.6
